node_id,parent_id,label,month,weight,metric_1,metric_2,metric_3,metric_4,metric_5
root,,Global,2025-01,100,104,53,14,105,10
root,,Global,2025-02,100,84,55,15,110,15
root,,Global,2025-03,100,129,38,24,115,19
root,,Global,2025-04,100,162,25,62,122,22
root,,Global,2025-05,100,207,25,18,148,36
root,,Global,2025-06,100,330,28,30,103,45
root,,Global,2025-07,100,373,23,16,178,58
root,,Global,2025-08,100,303,26,64,87,92
root,,Global,2025-09,100,252,34,26,116,70
root,,Global,2025-10,100,151,50,18,188,27
root,,Global,2025-11,100,92,58,75,94,21
root,,Global,2025-12,100,86,62,18,125,12
north,root,North,2025-01,54,17,35,9,31,4
north,root,North,2025-02,54,19,36,13,33,5
north,root,North,2025-03,54,29,25,15,35,6
north,root,North,2025-04,54,49,16,38,27,8
north,root,North,2025-05,54,46,16,11,45,12
north,root,North,2025-06,54,73,14,18,31,15
north,root,North,2025-07,54,83,15,10,72,20
north,root,North,2025-08,54,67,17,39,26,32
north,root,North,2025-09,54,56,30,16,35,18
north,root,North,2025-10,54,34,33,11,57,9
north,root,North,2025-11,54,20,38,34,28,7
north,root,North,2025-12,54,19,41,11,38,6
south,root,South,2025-01,46,37,30,11,36,5
south,root,South,2025-02,46,40,32,12,38,7
south,root,South,2025-03,46,62,22,19,40,13
south,root,South,2025-04,46,77,14,47,31,11
south,root,South,2025-05,46,99,14,18,51,18
south,root,South,2025-06,46,157,12,23,36,22
south,root,South,2025-07,46,240,14,12,62,29
south,root,South,2025-08,46,144,15,49,30,45
south,root,South,2025-09,46,120,19,20,40,25
south,root,South,2025-10,46,72,29,14,88,13
south,root,South,2025-11,46,44,34,43,33,10
south,root,South,2025-12,46,41,49,14,43,6
north_a,north,North A,2025-01,18,9,10,1,18,1
north_a,north,North A,2025-02,18,10,10,1,14,1
north_a,north,North A,2025-03,18,15,9,2,15,1
north_a,north,North A,2025-04,18,18,5,5,12,2
north_a,north,North A,2025-05,18,23,5,1,19,3
north_a,north,North A,2025-06,18,37,4,2,14,5
north_a,north,North A,2025-07,18,42,4,1,23,5
north_a,north,North A,2025-08,18,34,5,7,11,7
north_a,north,North A,2025-09,18,29,6,2,15,4
north_a,north,North A,2025-10,18,23,9,1,25,2
north_a,north,North A,2025-11,18,10,11,4,12,2
north_a,north,North A,2025-12,18,10,11,1,16,1
north_b,north,North B,2025-01,20,20,13,7,31,2
north_b,north,North B,2025-02,20,16,14,7,32,2
north_b,north,North B,2025-03,20,25,10,11,34,3
north_b,north,North B,2025-04,20,32,6,29,36,4
north_b,north,North B,2025-05,20,40,6,8,43,6
north_b,north,North B,2025-06,20,64,7,14,30,7
north_b,north,North B,2025-07,20,73,6,7,52,10
north_b,north,North B,2025-08,20,59,7,30,26,15
north_b,north,North B,2025-09,20,49,8,12,34,12
north_b,north,North B,2025-10,20,29,13,9,55,4
north_b,north,North B,2025-11,20,18,15,36,28,3
north_b,north,North B,2025-12,20,17,16,9,37,2
north_c,north,North C,2025-01,16,9,14,2,10,1
north_c,north,North C,2025-02,16,10,14,3,10,1
north_c,north,North C,2025-03,16,16,10,3,11,2
north_c,north,North C,2025-04,16,27,6,8,8,2
north_c,north,North C,2025-05,16,25,6,2,14,3
north_c,north,North C,2025-06,16,40,5,4,10,4
north_c,north,North C,2025-07,16,45,6,2,23,5
north_c,north,North C,2025-08,16,37,7,9,8,7
north_c,north,North C,2025-09,16,31,12,4,11,4
north_c,north,North C,2025-10,16,18,13,3,18,2
north_c,north,North C,2025-11,16,11,15,8,9,2
north_c,north,North C,2025-12,16,10,16,2,12,1
south_a,south,South A,2025-01,14,7,10,2,13,1
south_a,south,South A,2025-02,14,8,11,3,14,2
south_a,south,South A,2025-03,14,12,7,4,15,3
south_a,south,South A,2025-04,14,15,5,10,12,2
south_a,south,South A,2025-05,14,19,5,4,19,4
south_a,south,South A,2025-06,14,30,4,5,13,5
south_a,south,South A,2025-07,14,45,5,3,23,6
south_a,south,South A,2025-08,14,27,5,11,11,9
south_a,south,South A,2025-09,14,23,6,4,15,5
south_a,south,South A,2025-10,14,14,10,3,32,3
south_a,south,South A,2025-11,14,8,11,9,12,2
south_a,south,South A,2025-12,14,8,16,3,16,1
south_b,south,South B,2025-01,17,6,10,2,20,1
south_b,south,South B,2025-02,17,7,10,2,16,2
