node_id,label,week,energy_source,generation_gwh
North,North,2025-01-01,Solar,9.7
North,North,2025-01-01,Wind,28.1
North,North,2025-01-01,Hydro,16.2
North,North,2025-01-08,Solar,45.3
North,North,2025-01-08,Wind,64.0
North,North,2025-01-08,Hydro,21.4
North,North,2025-01-15,Solar,49.2
North,North,2025-01-15,Wind,65.5
North,North,2025-01-15,Hydro,19.1
North,North,2025-01-22,Solar,52.2
North,North,2025-01-22,Wind,66.4
North,North,2025-01-22,Hydro,17.3
North,North,2025-01-29,Solar,54.1
North,North,2025-01-29,Wind,66.7
North,North,2025-01-29,Hydro,16.3
North,North,2025-02-05,Solar,54.9
North,North,2025-02-05,Wind,66.3
North,North,2025-02-05,Hydro,16.2
North,North,2025-02-12,Solar,54.5
North,North,2025-02-12,Wind,65.3
North,North,2025-02-12,Hydro,17.1
North,North,2025-02-19,Solar,52.9
North,North,2025-02-19,Wind,63.8
North,North,2025-02-19,Hydro,18.9
North,North,2025-02-26,Solar,26.5
North,North,2025-02-26,Wind,44.9
North,North,2025-02-26,Hydro,30.6
North,North,2025-03-05,Solar,47.1
North,North,2025-03-05,Wind,59.7
North,North,2025-03-05,Hydro,24.7
North,North,2025-03-12,Solar,43.3
North,North,2025-03-12,Wind,57.4
North,North,2025-03-12,Hydro,28.5
North,North,2025-03-19,Solar,39.3
North,North,2025-03-19,Wind,55.0
North,North,2025-03-19,Hydro,32.5
North,North,2025-03-26,Solar,35.3
North,North,2025-03-26,Wind,52.5
North,North,2025-03-26,Hydro,36.6
North,North,2025-04-02,Solar,31.5
North,North,2025-04-02,Wind,50.2
North,North,2025-04-02,Hydro,40.5
North,North,2025-04-09,Solar,28.1
North,North,2025-04-09,Wind,48.0
North,North,2025-04-09,Hydro,44.3
North,North,2025-04-16,Solar,25.2
North,North,2025-04-16,Wind,45.9
North,North,2025-04-16,Hydro,47.6
North,North,2025-04-23,Solar,62.2
North,North,2025-04-23,Wind,41.4
North,North,2025-04-23,Hydro,44.4
North,North,2025-04-30,Solar,21.6
North,North,2025-04-30,Wind,42.4
North,North,2025-04-30,Hydro,52.8
North,North,2025-05-07,Solar,20.9
North,North,2025-05-07,Wind,40.8
North,North,2025-05-07,Hydro,54.4
North,North,2025-05-14,Solar,21.0
North,North,2025-05-14,Wind,39.5
North,North,2025-05-14,Hydro,55.3
North,North,2025-05-21,Solar,21.9
North,North,2025-05-21,Wind,38.2
North,North,2025-05-21,Hydro,55.4
North,North,2025-05-28,Solar,23.4
North,North,2025-05-28,Wind,37.0
North,North,2025-05-28,Hydro,54.7
North,North,2025-06-04,Solar,25.4
North,North,2025-06-04,Wind,35.9
North,North,2025-06-04,Hydro,53.3
North,North,2025-06-11,Solar,27.8
North,North,2025-06-11,Wind,34.8
North,North,2025-06-11,Hydro,51.1
North,North,2025-06-18,Solar,23.6
North,North,2025-06-18,Wind,29.6
North,North,2025-06-18,Hydro,22.8
North,North,2025-06-25,Solar,32.8
North,North,2025-06-25,Wind,32.7
North,North,2025-06-25,Hydro,45.1
North,North,2025-07-02,Solar,34.9
North,North,2025-07-02,Wind,31.6
North,North,2025-07-02,Hydro,41.7
North,North,2025-07-09,Solar,36.5
North,North,2025-07-09,Wind,30.6
North,North,2025-07-09,Hydro,38.2
North,North,2025-07-16,Solar,37.4
North,North,2025-07-16,Wind,29.5
North,North,2025-07-16,Hydro,34.8
North,North,2025-07-23,Solar,37.5
North,North,2025-07-23,Wind,28.5
North,North,2025-07-23,Hydro,31.8
North,North,2025-07-30,Solar,36.9
North,North,2025-07-30,Wind,27.4
North,North,2025-07-30,Hydro,29.1
North,North,2025-08-06,Solar,35.4
North,North,2025-08-06,Wind,26.4
North,North,2025-08-06,Hydro,26.8
North,North,2025-08-13,Solar,27.9
North,North,2025-08-13,Wind,61.0
North,North,2025-08-13,Hydro,38.1
North,North,2025-08-20,Solar,30.9
North,North,2025-08-20,Wind,24.5
North,North,2025-08-20,Hydro,23.7
North,North,2025-08-27,Solar,28.1
North,North,2025-08-27,Wind,23.7
North,North,2025-08-27,Hydro,22.8
North,North,2025-09-03,Solar,25.3
North,North,2025-09-03,Wind,23.0
North,North,2025-09-03,Hydro,22.3
North,North,2025-09-10,Solar,22.6
North,North,2025-09-10,Wind,22.6
North,North,2025-09-10,Hydro,22.1
North,North,2025-09-17,Solar,20.1
North,North,2025-09-17,Wind,22.5
North,North,2025-09-17,Hydro,22.3
North,North,2025-09-24,Solar,18.0
North,North,2025-09-24,Wind,22.7
North,North,2025-09-24,Hydro,22.7
North,North,2025-10-01,Solar,16.2
North,North,2025-10-01,Wind,23.2
North,North,2025-10-01,Hydro,23.5
North,North,2025-10-08,Solar,24.5
North,North,2025-10-08,Wind,17.0
North,North,2025-10-08,Hydro,26.5
North,North,2025-10-15,Solar,13.9
North,North,2025-10-15,Wind,25.8
North,North,2025-10-15,Hydro,25.9
North,North,2025-10-22,Solar,13.5
North,North,2025-10-22,Wind,27.8
North,North,2025-10-22,Hydro,27.4
North,North,2025-10-29,Solar,13.5
North,North,2025-10-29,Wind,30.4
North,North,2025-10-29,Hydro,29.0
North,North,2025-11-05,Solar,14.0
North,North,2025-11-05,Wind,33.3
North,North,2025-11-05,Hydro,30.5
North,North,2025-11-12,Solar,15.2
North,North,2025-11-12,Wind,36.7
North,North,2025-11-12,Hydro,31.7
North,North,2025-11-19,Solar,17.0
North,North,2025-11-19,Wind,40.4
North,North,2025-11-19,Hydro,32.5
North,North,2025-11-26,Solar,19.6
North,North,2025-11-26,Wind,44.3
North,North,2025-11-26,Hydro,32.6
North,North,2025-12-03,Solar,22.9
North,North,2025-12-03,Wind,48.2
North,North,2025-12-03,Hydro,32.1
North,North,2025-12-10,Solar,26.9
North,North,2025-12-10,Wind,52.1
North,North,2025-12-10,Hydro,30.9
North,North,2025-12-17,Solar,31.3
North,North,2025-12-17,Wind,55.7
North,North,2025-12-17,Hydro,29.0
North,North,2025-12-24,Solar,36.1
North,North,2025-12-24,Wind,59.0
North,North,2025-12-24,Hydro,26.6
Northeast,Northeast,2025-01-01,Solar,51.0
Northeast,Northeast,2025-01-01,Wind,42.0
Northeast,Northeast,2025-01-01,Hydro,57.0
Northeast,Northeast,2025-01-08,Solar,62.1
Northeast,Northeast,2025-01-08,Wind,74.9
Northeast,Northeast,2025-01-08,Hydro,19.2
Northeast,Northeast,2025-01-15,Solar,64.2
Northeast,Northeast,2025-01-15,Wind,78.6
Northeast,Northeast,2025-01-15,Hydro,18.3
Northeast,Northeast,2025-01-22,Solar,62.3
Northeast,Northeast,2025-01-22,Wind,79.1
Northeast,Northeast,2025-01-22,Hydro,20.1
Northeast,Northeast,2025-01-29,Solar,56.6
Northeast,Northeast,2025-01-29,Wind,76.4
Northeast,Northeast,2025-01-29,Hydro,24.1
Northeast,Northeast,2025-02-05,Solar,48.3
Northeast,Northeast,2025-02-05,Wind,70.8
Northeast,Northeast,2025-02-05,Hydro,29.2
Northeast,Northeast,2025-02-12,Solar,39.0
Northeast,Northeast,2025-02-12,Wind,63.1
Northeast,Northeast,2025-02-12,Hydro,34.1
Northeast,Northeast,2025-02-19,Solar,30.1
Northeast,Northeast,2025-02-19,Wind,54.1
Northeast,Northeast,2025-02-19,Hydro,37.4
Northeast,Northeast,2025-02-26,Solar,14.7
Northeast,Northeast,2025-02-26,Wind,38.5
Northeast,Northeast,2025-02-26,Hydro,16.8
Northeast,Northeast,2025-03-05,Solar,17.3
Northeast,Northeast,2025-03-05,Wind,36.2
Northeast,Northeast,2025-03-05,Hydro,37.1
Northeast,Northeast,2025-03-12,Solar,13.9
Northeast,Northeast,2025-03-12,Wind,28.9
Northeast,Northeast,2025-03-12,Hydro,34.1
Northeast,Northeast,2025-03-19,Solar,12.1
Northeast,Northeast,2025-03-19,Wind,23.2
Northeast,Northeast,2025-03-19,Hydro,30.6
Northeast,Northeast,2025-03-26,Solar,11.8
Northeast,Northeast,2025-03-26,Wind,19.4
Northeast,Northeast,2025-03-26,Hydro,27.4
Northeast,Northeast,2025-04-02,Solar,12.7
Northeast,Northeast,2025-04-02,Wind,17.3
Northeast,Northeast,2025-04-02,Hydro,25.2
Northeast,Northeast,2025-04-09,Solar,14.9
Northeast,Northeast,2025-04-09,Wind,16.8
Northeast,Northeast,2025-04-09,Hydro,24.1
Northeast,Northeast,2025-04-16,Solar,18.4
Northeast,Northeast,2025-04-16,Wind,17.5
Northeast,Northeast,2025-04-16,Hydro,24.0
Northeast,Northeast,2025-04-23,Solar,32.5
Northeast,Northeast,2025-04-23,Wind,47.0
Northeast,Northeast,2025-04-23,Hydro,32.5
Northeast,Northeast,2025-04-30,Solar,28.6
Northeast,Northeast,2025-04-30,Wind,22.4
Northeast,Northeast,2025-04-30,Hydro,25.3
Northeast,Northeast,2025-05-07,Solar,34.1
Northeast,Northeast,2025-05-07,Wind,26.2
Northeast,Northeast,2025-05-07,Hydro,26.2
Northeast,Northeast,2025-05-14,Solar,38.7
Northeast,Northeast,2025-05-14,Wind,30.6
Northeast,Northeast,2025-05-14,Hydro,27.4
Northeast,Northeast,2025-05-21,Solar,41.5
Northeast,Northeast,2025-05-21,Wind,35.5
Northeast,Northeast,2025-05-21,Hydro,29.0
Northeast,Northeast,2025-05-28,Solar,42.1
Northeast,Northeast,2025-05-28,Wind,40.7
Northeast,Northeast,2025-05-28,Hydro,31.1
Northeast,Northeast,2025-06-04,Solar,40.5
Northeast,Northeast,2025-06-04,Wind,45.6
Northeast,Northeast,2025-06-04,Hydro,33.8
Northeast,Northeast,2025-06-11,Solar,37.1
Northeast,Northeast,2025-06-11,Wind,50.2
Northeast,Northeast,2025-06-11,Hydro,36.7
Northeast,Northeast,2025-06-18,Solar,65.3
Northeast,Northeast,2025-06-18,Wind,34.1
Northeast,Northeast,2025-06-18,Hydro,42.6
Northeast,Northeast,2025-06-25,Solar,28.5
Northeast,Northeast,2025-06-25,Wind,57.0
Northeast,Northeast,2025-06-25,Hydro,41.4
Northeast,Northeast,2025-07-02,Solar,25.0
Northeast,Northeast,2025-07-02,Wind,59.0
Northeast,Northeast,2025-07-02,Hydro,42.5
Northeast,Northeast,2025-07-09,Solar,22.9
Northeast,Northeast,2025-07-09,Wind,60.3
Northeast,Northeast,2025-07-09,Hydro,42.5
Northeast,Northeast,2025-07-16,Solar,22.6
Northeast,Northeast,2025-07-16,Wind,60.7
Northeast,Northeast,2025-07-16,Hydro,41.2
Northeast,Northeast,2025-07-23,Solar,24.0
Northeast,Northeast,2025-07-23,Wind,60.6
Northeast,Northeast,2025-07-23,Hydro,39.0
Northeast,Northeast,2025-07-30,Solar,27.0
Northeast,Northeast,2025-07-30,Wind,59.8
Northeast,Northeast,2025-07-30,Hydro,36.1
Northeast,Northeast,2025-08-06,Solar,31.1
Northeast,Northeast,2025-08-06,Wind,58.4
Northeast,Northeast,2025-08-06,Hydro,32.8
Northeast,Northeast,2025-08-13,Solar,15.1
Northeast,Northeast,2025-08-13,Wind,28.4
Northeast,Northeast,2025-08-13,Hydro,14.5
Northeast,Northeast,2025-08-20,Solar,40.0
Northeast,Northeast,2025-08-20,Wind,53.5
Northeast,Northeast,2025-08-20,Hydro,26.8
Northeast,Northeast,2025-08-27,Solar,43.2
Northeast,Northeast,2025-08-27,Wind,50.0
Northeast,Northeast,2025-08-27,Hydro,25.0
Northeast,Northeast,2025-09-03,Solar,44.7
Northeast,Northeast,2025-09-03,Wind,45.9
Northeast,Northeast,2025-09-03,Hydro,24.3
Northeast,Northeast,2025-09-10,Solar,43.9
Northeast,Northeast,2025-09-10,Wind,41.3
Northeast,Northeast,2025-09-10,Hydro,24.7
Northeast,Northeast,2025-09-17,Solar,41.0
Northeast,Northeast,2025-09-17,Wind,36.5
Northeast,Northeast,2025-09-17,Hydro,26.1
Northeast,Northeast,2025-09-24,Solar,36.2
Northeast,Northeast,2025-09-24,Wind,31.7
Northeast,Northeast,2025-09-24,Hydro,27.8
Northeast,Northeast,2025-10-01,Solar,30.5
Northeast,Northeast,2025-10-01,Wind,27.3
Northeast,Northeast,2025-10-01,Hydro,29.4
Northeast,Northeast,2025-10-08,Solar,36.5
Northeast,Northeast,2025-10-08,Wind,32.6
Northeast,Northeast,2025-10-08,Hydro,26.9
Northeast,Northeast,2025-10-15,Solar,19.2
Northeast,Northeast,2025-10-15,Wind,20.6
Northeast,Northeast,2025-10-15,Hydro,30.6
Northeast,Northeast,2025-10-22,Solar,15.0
Northeast,Northeast,2025-10-22,Wind,18.5
Northeast,Northeast,2025-10-22,Hydro,30.3
Northeast,Northeast,2025-10-29,Solar,12.3
Northeast,Northeast,2025-10-29,Wind,17.5
Northeast,Northeast,2025-10-29,Hydro,29.9
Northeast,Northeast,2025-11-05,Solar,10.9
Northeast,Northeast,2025-11-05,Wind,17.8
Northeast,Northeast,2025-11-05,Hydro,30.1
Northeast,Northeast,2025-11-12,Solar,11.1
Northeast,Northeast,2025-11-12,Wind,19.5
Northeast,Northeast,2025-11-12,Hydro,31.0
Northeast,Northeast,2025-11-19,Solar,12.8
Northeast,Northeast,2025-11-19,Wind,22.8
Northeast,Northeast,2025-11-19,Hydro,32.4
Northeast,Northeast,2025-11-26,Solar,16.4
Northeast,Northeast,2025-11-26,Wind,27.8
Northeast,Northeast,2025-11-26,Hydro,33.8
Northeast,Northeast,2025-12-03,Solar,22.0
